Room name,Coo1,Coo2,Coo3,Coo4
006Toilet,"(10.40440845489502, 49.384185791015625, 0.0)","(1.383732795715332, 47.22826385498047, 0.0)","(11.810528755187988, 43.831268310546875, 0.0)","(2.7970728874206543, 41.60116195678711, 0.0)"
005,"(19.421201705932617, 51.55047607421875, 0.0)","(10.40440845489502, 49.384185791015625, 0.0)","(20.867900848388672, 46.06768035888672, 0.0)","(11.810528755187988, 43.831268310546875, 0.0)"
004,"(28.521390914916992, 53.70907974243164, 0.0)","(19.421201705932617, 51.55047607421875, 0.0)","(29.93276596069336, 48.2757568359375, 0.0)","(20.867900848388672, 46.06768035888672, 0.0)"
003,"(37.67099380493164, 55.90304183959961, 0.0)","(28.521390914916992, 53.70907974243164, 0.0)","(39.10689926147461, 50.447689056396484, 0.0)","(29.93276596069336, 48.2757568359375, 0.0)"
002,"(46.76862716674805, 58.10822677612305, 0.0)","(37.67099380493164, 55.90304183959961, 0.0)","(48.22905731201172, 52.6308479309082, 0.0)","(39.10689926147461, 50.447689056396484, 0.0)"
A03,"(16.54747772216797, 37.76958465576172, 0.0)","(-0.12128257751464844, 33.18417739868164, 0.0)","(19.259729385375977, 27.223743438720703, 0.0)","(2.570185899734497, 22.85198402404785, 0.0)"
Garden3,"(19.259729385375977, 27.223743438720703, 0.0)","(2.570185899734497, 22.85198402404785, 0.0)","(24.579666137695312, 8.480587005615234, 0.0)","(7.1156158447265625, 4.229775428771973, 0.0)"
A02,"(39.57961654663086, 44.032188415527344, 0.0)","(22.941152572631836, 39.490421295166016, 0.0)","(42.316802978515625, 33.54368591308594, 0.0)","(25.61641502380371, 29.19934844970703, 0.0)"
Garden2,"(42.316802978515625, 33.54368591308594, 0.0)","(25.61641502380371, 29.19934844970703, 0.0)","(47.619415283203125, 14.741374969482422, 0.0)","(30.204421997070312, 10.528144836425781, 0.0)"
A01,"(62.57975387573242, 50.39718246459961, 0.0)","(45.93949508666992, 45.81980895996094, 0.0)","(65.29386901855469, 39.886878967285156, 0.0)","(48.59223556518555, 35.51353073120117, 0.0)"
Garden1,"(65.29386901855469, 39.886878967285156, 0.0)","(48.59223556518555, 35.51353073120117, 0.0)","(70.63101959228516, 21.092790603637695, 0.0)","(53.2393798828125, 16.820308685302734, 0.0)"
032,"(62.82361602783203, 14.900750160217285, 0.0)","(53.777828216552734, 12.684334754943848, 0.0)","(63.683502197265625, 11.309950828552246, 0.0)","(54.594078063964844, 9.123873710632324, 0.0)"
031,"(53.777828216552734, 12.684334754943848, 0.0)","(44.699195861816406, 10.470817565917969, 0.0)","(54.594078063964844, 9.123873710632324, 0.0)","(45.5428581237793, 6.921154975891113, 0.0)"
030,"(44.699195861816406, 10.470817565917969, 0.0)","(35.59313201904297, 8.246501922607422, 0.0)","(45.5428581237793, 6.921154975891113, 0.0)","(36.3985710144043, 4.713475227355957, 0.0)"
029,"(35.59313201904297, 8.246501922607422, 0.0)","(26.46795654296875, 6.030500888824463, 0.0)","(36.3985710144043, 4.713475227355957, 0.0)","(27.295429229736328, 2.521996021270752, 0.0)"
028,"(26.46795654296875, 6.030500888824463, 0.0)","(17.288333892822266, 3.872274398803711, 0.0)","(27.295429229736328, 2.521996021270752, 0.0)","(18.14572525024414, 0.32802391052246094, 0.0)"
027,"(17.288333892822266, 3.872274398803711, 0.0)","(8.179781913757324, 1.6945075988769531, 0.0)","(18.14572525024414, 0.32802391052246094, 0.0)","(9.023456573486328, -1.8551397323608398, 0.0)"
016,"(-2.074458599090576, 6.969697952270508, 0.0)","(-5.603679180145264, 6.107665061950684, 0.0)","(-1.2349390983581543, 3.4976348876953125, 0.0)","(-4.752721786499023, 2.6401023864746094, 0.0)"
015,"(-2.957273244857788, 10.451114654541016, 0.0)","(-6.424840450286865, 9.600165367126465, 0.0)","(-2.074458599090576, 6.969697952270508, 0.0)","(-5.603679180145264, 6.107665061950684, 0.0)"
014,"(-3.7943503856658936, 13.950559616088867, 0.0)","(-7.282353401184082, 13.117965698242188, 0.0)","(-2.957273244857788, 10.451114654541016, 0.0)","(-6.424840450286865, 9.600165367126465, 0.0)"
013,"(-4.635955333709717, 17.46141242980957, 0.0)","(-8.114943504333496, 16.60596466064453, 0.0)","(-3.7943503856658936, 13.950559616088867, 0.0)","(-7.282353401184082, 13.117965698242188, 0.0)"
012,"(-5.486904144287109, 20.928987503051758, 0.0)","(-8.936105728149414, 20.098466873168945, 0.0)","(-4.635955333709717, 17.46141242980957, 0.0)","(-8.114943504333496, 16.60596466064453, 0.0)"
011Toilet,"(-6.33992338180542, 24.43534278869629, 0.0)","(-9.780123710632324, 23.58196258544922, 0.0)","(-5.486904144287109, 20.928987503051758, 0.0)","(-8.936105728149414, 20.098466873168945, 0.0)"
018,"(5.90726375579834, 9.180290222167969, 0.0)","(2.575888156890869, 8.31546688079834, 0.0)","(6.740753650665283, 5.765522003173828, 0.0)","(3.422886371612549, 4.878034591674805, 0.0)"
019,"(5.07125186920166, 12.605352401733398, 0.0)","(1.7122507095336914, 11.71465015411377, 0.0)","(5.907267093658447, 9.180281639099121, 0.0)","(2.5758891105651855, 8.315464973449707, 0.0)"
020,"(4.2416887283325195, 16.003992080688477, 0.0)","(0.8652486801147461, 15.152079582214355, 0.0)","(5.07125186920166, 12.605352401733398, 0.0)","(1.7122507095336914, 11.71465015411377, 0.0)"
021,"(3.3978042602539062, 19.46131706237793, 0.0)","(0.004538238048553467, 18.584104537963867, 0.0)","(4.2416887283325195, 16.003992080688477, 0.0)","(0.8652486801147461, 15.152079582214355, 0.0)"
AM,"(70.8019790649414, 12.951189994812012, 0.0)","(74.60391998291016, 13.832304000854492, 0.0)","(92.39254760742188, 17.954853057861328, 0.0)","(94.26620483398438, 12.048990249633789, 0.0)","(100.22464752197266, -6.732412338256836, 0.0)","(73.37039184570312, -13.147090911865234, 0.0)"
005A,"(-0.991973876953125, 57.121986389160156, 0.0)","(-4.370176315307617, 56.345855712890625, 0.0)","(-0.14345455169677734, 53.62706756591797, 0.0)","(-3.59716796875, 52.807987213134766, 0.0)"
F010,"(-14.823009490966797, 63.492794036865234, 0.0)","(-3.246710777282715, 66.13623046875, 0.0)","(-12.87560749053955, 54.49439239501953, 0.0)","(-0.9919729232788086, 57.1318359375, 0.0)"
F009,"(-26.671064376831055, 60.90204620361328, 0.0)","(-14.823009490966797, 63.492794036865234, 0.0)","(-24.692523956298828, 51.82463073730469, 0.0)","(-12.87560749053955, 54.49439239501953, 0.0)"
F008,"(-38.59871292114258, 58.165897369384766, 0.0)","(-26.671064376831055, 60.90204620361328, 0.0)","(-36.659088134765625, 49.18724822998047, 0.0)","(-24.692523956298828, 51.82463073730469, 0.0)"
F007,"(-50.47785568237305, 55.445526123046875, 0.0)","(-38.59871292114258, 58.165897369384766, 0.0)","(-48.47099304199219, 46.634071350097656, 0.0)","(-36.659088134765625, 49.18724822998047, 0.0)"
F006,"(-56.883750915527344, 54.005008697509766, 0.0)","(-50.47785568237305, 55.445526123046875, 0.0)","(-54.888031005859375, 45.15745544433594, 0.0)","(-48.47099304199219, 46.634071350097656, 0.0)"
F005,"(-63.27154541015625, 52.579673767089844, 0.0)","(-56.883750915527344, 54.005008697509766, 0.0)","(-61.27937316894531, 43.69929504394531, 0.0)","(-54.888031005859375, 45.15745544433594, 0.0)"
F004,"(-63.27154541015625, 52.579673767089844, 0.0)","(-71.816650390625, 50.63840103149414, -0.20000001788139343)","(-61.27937316894531, 43.69929504394531, 0.0)","(-69.68184661865234, 41.71118927001953, 0.0)"
037,"(98.94306182861328, 25.002614974975586, 0.0)","(102.61405944824219, 25.890911102294922, 0.0)","(100.25208282470703, 19.647701263427734, 0.0)","(103.9529800415039, 20.45601463317871, 0.0)"
038,"(102.6131820678711, 25.892629623413086, 0.0)","(106.3482666015625, 26.809558868408203, 0.0)","(103.9529800415039, 20.45601463317871, 0.0)","(107.71078491210938, 21.294384002685547, 0.0)"
039Toilet,"(112.12580871582031, 28.167709350585938, 0.0)","(106.3482666015625, 26.809558868408203, 0.0)","(106.9248046875, 24.47594451904297, 0.0)","(107.71078491210938, 21.294384002685547, 0.0)","(112.7773208618164, 22.419517517089844, 0.0)","(113.51727294921875, 22.583845138549805, 0.0)"
042,"(125.18692016601562, 37.310760498046875, 0.0)","(132.4849395751953, 38.77532958984375, 0.0)","(126.43743896484375, 31.481237411499023, 0.0)","(133.6461181640625, 33.13243865966797, 0.0)"
042A,"(123.96087646484375, 43.118247985839844, 0.0)","(131.31126403808594, 44.650978088378906, 0.0)","(125.18692016601562, 37.310760498046875, 0.0)","(132.4849395751953, 38.77532958984375, 0.0)"
043,"(122.69335174560547, 48.967491149902344, 0.0)","(130.150146484375, 50.51837158203125, 0.0)","(123.96087646484375, 43.118247985839844, 0.0)","(131.31126403808594, 44.650978088378906, 0.0)"
044,"(115.4375991821289, 53.107547760009766, 0.0)","(129.031494140625, 56.00636291503906, 0.0)","(116.69099426269531, 47.646217346191406, 0.0)","(130.150146484375, 50.51837158203125, 0.0)"
048,"(95.93669891357422, 69.90849304199219, 0.0)","(101.97196960449219, 71.2400894165039, 0.0)","(97.29240417480469, 64.29469299316406, 0.0)","(103.35802459716797, 65.669921875, 0.0)"
047,"(101.97196960449219, 71.2400894165039, 0.0)","(105.6446762084961, 72.05300903320312, 0.0)","(103.35802459716797, 65.669921875, 0.0)","(107.01659393310547, 66.3980484008789, 0.0)"
046,"(105.6446762084961, 72.05300903320312, 0.0)","(109.29825592041016, 72.87423706054688, 0.0)","(107.01659393310547, 66.3980484008789, 0.0)","(110.7246322631836, 67.16150665283203, 0.0)"
